spectrum,ell_min,ell_max,n_points,model,model_label,q_IR,ell_IR,fitted_parameters_in_this_proxy,chi2_diag_proxy,chi2_per_point,PTE_chi2_n_dof_proxy,delta_chi2_improvement_vs_LCDM,AIC_proxy,BIC_proxy,delta_AIC_vs_LCDM,delta_BIC_vs_LCDM
TT,2,29,28,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,27.40723660095901,0.9788298786056789,0.4961643817351986,0.0,27.40723660095901,27.40723660095901,0.0,0.0
TT,2,29,28,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,26.230298711694388,0.9367963825605139,0.56038720476213,1.1769378892646216,26.230298711694388,26.230298711694388,-1.1769378892646216,-1.1769378892646216
TT,2,29,28,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,16.65364090607876,0.5947728895028128,0.9551204485023159,10.75359569488025,20.65364090607876,23.31804992642917,-6.75359569488025,-4.0891866745298415
TT,2,29,28,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,15.86562029678718,0.5666292963138279,0.9677677267953799,11.54161630417183,19.865620296787178,22.530029317137586,-7.541616304171832,-4.8772072838214235
TT,2,64,63,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,62.2025381194387,0.9873418749117254,0.5047260706351558,0.0,62.2025381194387,62.2025381194387,0.0,0.0
TT,2,64,63,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,61.0255991749688,0.9686603043645841,0.5470348120640088,1.176938944469903,61.0255991749688,61.0255991749688,-1.176938944469903,-1.176938944469903
TT,2,64,63,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,51.838415640552775,0.8228319942944885,0.8412593898403457,10.364122478885925,55.838415640552775,60.12468509333584,-6.364122478885925,-2.077853026102858
TT,2,64,63,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,53.114896961022495,0.8430936025559126,0.8081726244247747,9.087641158416204,57.114896961022495,61.40116641380556,-5.087641158416204,-0.8013717056331373
TT,30,100,71,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,70.72709661244271,0.9961562903160944,0.486809467681528,0.0,70.72709661244271,70.72709661244271,0.0,0.0
TT,30,100,71,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,70.72708204792006,0.9961560851819727,0.4868099558852429,1.4564522643922828e-05,70.72708204792006,70.72708204792006,-1.4564522643922828e-05,-1.4564522643922828e-05
TT,30,100,71,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,71.11480348630184,1.0016169505112935,0.47384645238009043,-0.3877068738591305,75.11480348630184,79.64016324038447,4.3877068738591305,8.91306662794176
TT,30,100,71,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,72.89984029188051,1.026758313970148,0.4153162919020882,-2.172743679437801,76.89984029188051,81.42520004596314,6.172743679437801,10.69810343352043
TT,30,1200,1171,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,1359.2172613995713,1.160732076344638,0.00010278704055606293,0.0,1359.2172613995713,1359.2172613995713,0.0,0.0
TT,30,1200,1171,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,1359.202338974732,1.1607193330270982,0.00010290056982856631,0.014922424839369341,1359.202338974732,1359.202338974732,-0.014922424839369341,-0.014922424839369341
TT,30,1200,1171,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,1359.6056323292114,1.1610637338421959,9.987365969933266e-05,-0.3883709296401321,1363.6056323292114,1373.7368590564067,4.388370929640132,14.519597656835458
TT,30,1200,1171,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,1361.57412957401,1.1627447733339111,8.626986362860004e-05,-2.3568681744386595,1365.57412957401,1375.7053563012053,6.3568681744386595,16.488094901633986
TT,30,1399,1370,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,1575.726505420957,1.1501653324240562,8.438897757536494e-05,0.0,1575.726505420957,1575.726505420957,0.0,0.0
TT,30,1399,1370,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,1575.7127960359649,1.150155325573697,8.446956736084131e-05,0.013709384992125706,1575.7127960359649,1575.7127960359649,-0.013709384992125706,-0.013709384992125706
TT,30,1399,1370,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,1576.1500758122381,1.1504745078921446,8.19346116664084e-05,-0.42357039128114593,1580.1500758122381,1590.5952078498824,4.423570391281146,14.868702428925417
TT,30,1399,1370,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,1578.2291258866953,1.1519920626910185,7.083667702863222e-05,-2.502620465738346,1582.2291258866953,1592.6742579243396,6.502620465738346,16.947752503382617
TE,2,29,28,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,26.97762648385162,0.9634866601375578,0.5194656853847066,0.0,26.97762648385162,26.97762648385162,0.0,0.0
TE,2,29,28,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,26.672959415088304,0.9526056933960109,0.5361049877977714,0.3046670687633153,26.672959415088304,26.672959415088304,-0.3046670687633153,-0.3046670687633153
TE,2,29,28,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,26.542898042937274,0.9479606443906169,0.5432293842030198,0.4347284409143448,30.542898042937274,33.20730706328768,3.565271559085655,6.22968057943606
TE,2,29,28,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,26.753467313558165,0.9554809754842202,0.5317007042782613,0.22415917029345422,30.753467313558165,33.41787633390857,3.7758408297065458,6.440249850056954
TE,2,64,63,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,61.984234155246995,0.9838767326229682,0.5125512752103238,0.0,61.984234155246995,61.984234155246995,0.0,0.0
TE,2,64,63,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,61.679566669177134,0.9790407407805894,0.5234942569844238,0.30466748606986016,61.679566669177134,61.679566669177134,-0.30466748606986016,-0.30466748606986016
TE,2,64,63,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,61.57252137858921,0.9773416091839556,0.5273438661680526,0.4117127766577866,65.57252137858922,69.85879083137227,3.5882872233422205,7.87455667612528
TE,2,64,63,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,61.897856596096666,0.9825056602555027,0.5156514292118658,0.08637755915032841,65.89785659609666,70.18412604887973,3.9136224408496645,8.199891893632739
TE,30,100,71,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,59.24476598004093,0.8344333236625483,0.8389315477685646,0.0,59.24476598004093,59.24476598004093,0.0,0.0
TE,30,100,71,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,59.24476596146581,0.8344333234009269,0.838931548198404,1.857512188507826e-08,59.24476596146581,59.24476596146581,-1.857512188507826e-08,-1.857512188507826e-08
TE,30,100,71,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,59.264400763402364,0.8347098699070755,0.8384768199091083,-0.01963478336143254,63.264400763402364,67.78976051748499,4.0196347833614325,8.544994537444062
TE,30,100,71,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,58.969933866748626,0.8305624488274455,0.845219141405326,0.2748321132923053,62.969933866748626,67.49529362083126,3.7251678867076947,8.250527640790331
TE,30,1200,1171,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,1219.959025316291,1.0418095860941854,0.15585630833077652,0.0,1219.959025316291,1219.959025316291,0.0,0.0
TE,30,1200,1171,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,1219.9606399117472,1.041810964911825,0.15584854435686468,-0.0016145954562034603,1219.9606399117472,1219.9606399117472,0.0016145954562034603,0.0016145954562034603
TE,30,1200,1171,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,1219.9800731336704,1.0418275603191036,0.15575511794186342,-0.021047817379439948,1223.9800731336704,1234.1112998608658,4.02104781737944,14.152274544574766
TE,30,1200,1171,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,1219.8468945254103,1.041713829654492,0.15639614307287492,0.1121307908806557,1223.8468945254103,1233.9781212526057,3.8878692091193443,14.01909593631467
TE,30,1399,1370,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,1414.3659860754938,1.0323839314419663,0.19730389841032606,0.0,1414.3659860754938,1414.3659860754938,0.0,0.0
TE,30,1399,1370,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,1414.3670653954046,1.0323847192667186,0.19729829332167248,-0.0010793199107865803,1414.3670653954046,1414.3670653954046,0.0010793199107865803,0.0010793199107865803
TE,30,1399,1370,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,1414.3850905779761,1.0323978763342891,0.19720470019343522,-0.01910450248237794,1418.3850905779761,1428.8302226156204,4.019104502482378,14.464236540126649
TE,30,1399,1370,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,1414.2474002239555,1.032297372426245,0.1979203384158229,0.11858585153822787,1418.2474002239555,1428.6925322615998,3.881414148461772,14.326546186106043
EE,2,29,28,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,22.55677163518785,0.8055989869709946,0.7548873120433024,0.0,22.55677163518785,22.55677163518785,0.0,0.0
EE,2,29,28,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,22.716513666279,0.8113040595099642,0.7470929337664651,-0.15974203109114882,22.716513666279,22.716513666279,0.15974203109114882,0.15974203109114882
EE,2,29,28,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,24.382447012066706,0.8708016790023824,0.6611975345885373,-1.8256753768788556,28.382447012066706,31.046856032417114,5.825675376878856,8.490084397229264
EE,2,29,28,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,24.139303821236663,0.862117993615595,0.6741616092255222,-1.5825321860488124,28.139303821236663,30.80371284158707,5.582532186048812,8.246941206399221
EE,2,64,63,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,69.2719248221838,1.0995543622568857,0.2741955943055847,0.0,69.2719248221838,69.2719248221838,0.0,0.0
EE,2,64,63,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,69.43172608289255,1.1020908902046438,0.2697671358390746,-0.1598012607087469,69.43172608289255,69.43172608289255,0.1598012607087469,0.1598012607087469
EE,2,64,63,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,71.34173139410618,1.1324084348270822,0.22021394409529793,-2.0698065719223706,75.34173139410618,79.62800084688924,6.069806571922371,10.35607602470543
EE,2,64,63,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,72.21544507889173,1.1462769060141544,0.19967145928586147,-2.9435202567079273,76.21544507889173,80.50171453167479,6.943520256707927,11.229789709490987
EE,30,100,71,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,88.06818480648073,1.2403969691053625,0.0828257434117209,0.0,88.06818480648073,88.06818480648073,0.0,0.0
EE,30,100,71,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,88.06822526397046,1.2403975389291615,0.08282529437772986,-4.0457489731693386e-05,88.06822526397046,88.06822526397046,4.0457489731693386e-05,4.0457489731693386e-05
EE,30,100,71,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,88.33311163492981,1.2441283328863353,0.079927253623138,-0.26492682844907733,92.33311163492981,96.85847138901244,4.264926828449077,8.790286582531706
EE,30,100,71,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,89.75296390657236,1.2641262522052445,0.06576661955532069,-1.6847791000916317,93.75296390657236,98.27832366065499,5.684779100091632,10.21013885417426
EE,30,1200,1171,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,1240.2041128205933,1.0590983030064844,0.0783174664402418,0.0,1240.2041128205933,1240.2041128205933,0.0,0.0
EE,30,1200,1171,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,1240.2051011417816,1.0590991470040834,0.0783145909249998,-0.000988321188287955,1240.2051011417816,1240.2051011417816,0.000988321188287955,0.000988321188287955
EE,30,1200,1171,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,1240.4778374339326,1.0593320558786785,0.07752417939693886,-0.2737246133392546,1244.4778374339326,1254.609064161128,4.273724613339255,14.40495134053458
EE,30,1200,1171,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,1242.0149189655992,1.0606446788775399,0.0731845066564482,-1.8108061450059267,1246.0149189655992,1256.1461456927946,5.810806145005927,15.942032872201253
EE,30,1399,1370,CAMB_LCDM_powerlaw,CAMB LCDM power law,0.0,,0,1443.3467704400296,1.0535377886423574,0.08231826551330433,0.0,1443.3467704400296,1443.3467704400296,0.0,0.0
EE,30,1399,1370,OPH_IR_reference_q0p15_ell6,"OPH IR reference q=0.15, ellIR=6",0.15,6.0,0,1443.347518480511,1.0535383346573073,0.08231616882223629,-0.0007480404815396469,1443.347518480511,1443.347518480511,0.0007480404815396469,0.0007480404815396469
EE,30,1399,1370,OPH_IR_bestfit_lowell_q0p2446_ell33p615,"OPH IR best q=0.2446, ellIR=33.615",0.2445545067865991,33.614958176528,2,1443.6197386534225,1.053737035513447,0.08155587467362346,-0.27296821339291455,1447.6197386534225,1458.0648706910667,4.2729682133929145,14.718100251037185
EE,30,1399,1370,OPH_IR_joint_IRpart_q0p1670_ell67p979,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.1669615086819192,67.97947899950721,2,1445.1551727961378,1.0548577903621443,0.07736806875873109,-1.8084023561082176,1449.1551727961378,1459.600304833782,5.808402356108218,16.25353439375249
