ell,mode_count,raw_mean_coefficient_power,smoothed_mean_coefficient_power
2,5,0.17247632945195332,0.17247632945195332
3,7,0.08091730467943778,0.08091730467943778
4,9,0.04996707040497277,0.04996707040497277
5,11,0.032824435467419234,0.032824435467419234
6,13,0.025067498877197242,0.025067498877197242
7,15,0.018267463144078868,0.018267463144078868
8,17,0.013222644142242963,0.013222644142242963
9,19,0.011044172109019862,0.011044172109019862
10,21,0.00894959975898272,0.00894959975898272
11,23,0.007575188724278376,0.007575188724278376
12,25,0.006355145410316154,0.006355145410316154
13,27,0.005541715975433766,0.005541715975433766
14,29,0.004747348738922508,0.004747348738922508
15,31,0.004054822629005772,0.004054822629005772
16,33,0.0036468162114624923,0.0036468162114624923
