slice_index,cycle,relative_time,event_count,source_count,total_source_density,total_curvature_potential,max_curvature_potential,max_compactification_factor,mean_emergent_spatial_scale_factor
0,0.0,0.0,138,208,9.702136837797541,69.99065689388247,1.5102659195581347,0.5,0.7052900984863222
1,11.0,0.08661417322834646,138,208,9.737417643246795,69.69051145026177,1.5102659195581347,0.5,0.7073274056088599
2,23.0,0.18110236220472442,138,208,9.660772923761337,69.1002975847366,1.5102659195581347,0.5,0.7087295581138544
3,34.0,0.2677165354330709,133,203,9.191059603690992,68.14498975698814,1.5102659195581347,0.5,0.7036813194003928
4,46.0,0.36220472440944884,131,201,9.30422607005868,67.89407055858106,1.5102659195581347,0.5,0.6999846381696269
5,57.0,0.44881889763779526,131,201,9.527246723415473,66.55282644090599,1.5102659195581347,0.5,0.7044704956717497
6,69.0,0.5433070866141733,129,199,9.19505270844466,65.55845936311243,1.5102659195581347,0.49999999999999994,0.7052042608445487
7,80.0,0.6299212598425197,123,193,8.917481191780169,60.502810044457625,1.5102659195581347,0.5,0.7124575364853988
8,92.0,0.7244094488188977,121,191,8.87025843070422,59.34135747195027,1.5102659195581347,0.49999999999999994,0.7147949856534757
9,103.0,0.8110236220472441,118,188,8.563648587353967,59.03133443960336,1.5102659195581347,0.5,0.7098455575909102
10,115.0,0.905511811023622,118,188,8.563648587353967,59.03133443960336,1.5102659195581347,0.49999999999999994,0.7098455575909102
11,127.0,1.0,118,188,8.563648587353967,59.03133443960336,1.5102659195581347,0.5,0.7098455575909102
